"UserName","Description","DelayedAutoStart","BinaryPathName","StartupType","Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","StartType","ServiceHandle","Status","ServiceType","Site","Container"
"NT AUTHORITY\LocalService","Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","False","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","Automatic","Audiosrv","System.ServiceProcess.ServiceController[]","False","False","True","Windows Audio","System.ServiceProcess.ServiceController[]",".","Audiosrv","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"NT AUTHORITY\LocalService","This service sets time based on NITZ messages from a Mobile Network","False","C:\Windows\system32\svchost.exe -k autoTimeSvc","Manual","autotimesvc","System.ServiceProcess.ServiceController[]","False","False","False","Cellular Time","System.ServiceProcess.ServiceController[]",".","autotimesvc","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess",,
"LocalSystem","Provides User Account Control validation for the installation of ActiveX controls from the Internet and enables management of ActiveX control installation based on Group Policy settings. This service is started on demand and if disabled the installation of ActiveX controls will behave according to default browser settings.","False","C:\Windows\system32\svchost.exe -k AxInstSVGroup","Manual","AxInstSV","System.ServiceProcess.ServiceController[]","False","False","False","ActiveX Installer (AxInstSV)","System.ServiceProcess.ServiceController[]",".","AxInstSV","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess",,
"","This user service is used for Game Recordings and Live Broadcasts","False","C:\Windows\system32\svchost.exe -k BcastDVRUserService","Manual","BcastDVRUserService_215589","System.ServiceProcess.ServiceController[]","False","False","False","GameDVR and Broadcast User Service_215589","System.ServiceProcess.ServiceController[]",".","BcastDVRUserService_215589","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","224",,
"LocalSystem",,"False","""C:\Program Files (x86)\Jetico\BCWipe\BCWipeSvc.exe""","Automatic","BCWipeSvc","System.ServiceProcess.ServiceController[]","False","True","True","BCWipe service","System.ServiceProcess.ServiceController[]",".","BCWipeSvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"localSystem","BDESVC hosts the BitLocker Drive Encryption service. BitLocker Drive Encryption provides secure startup for the operating system, as well as full volume encryption for OS, fixed or removable volumes. This service allows BitLocker to prompt users for various actions related to their volumes when mounted, and unlocks volumes automatically without user interaction. Additionally, it stores recovery information to Active Directory, if available, and, if necessary, ensures the most recent recovery certificates are used.  Stopping or disabling the service would prevent users from leveraging this functionality.","False","C:\Windows\System32\svchost.exe -k netsvcs -p","Manual","BDESVC","System.ServiceProcess.ServiceController[]","False","False","False","BitLocker Drive Encryption Service","System.ServiceProcess.ServiceController[]",".","BDESVC","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess, Win32ShareProcess",,
"NT AUTHORITY\LocalService","The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications.","False","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","Automatic","BFE","System.ServiceProcess.ServiceController[]","False","False","True","Base Filtering Engine",,".","BFE","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32ShareProcess",,
"LocalSystem","Transfers files in the background using idle network bandwidth. If the service is disabled, then any applications that depend on BITS, such as Windows Update or MSN Explorer, will be unable to automatically download programs and other information.","True","C:\Windows\System32\svchost.exe -k netsvcs -p","Manual","BITS","System.ServiceProcess.ServiceController[]","False","False","False","Background Intelligent Transfer Service","System.ServiceProcess.ServiceController[]",".","BITS","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess",,
"","The Bluetooth user service supports proper functionality of Bluetooth features relevant to each user session.","False","C:\Windows\system32\svchost.exe -k BthAppGroup -p","Manual","BluetoothUserService_215589","System.ServiceProcess.ServiceController[]","False","False","False","Bluetooth User Support Service_215589","System.ServiceProcess.ServiceController[]",".","BluetoothUserService_215589","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","224",,
"LocalSystem","Windows infrastructure service that controls which background tasks can run on the system.","False","C:\Windows\system32\svchost.exe -k DcomLaunch -p","Automatic","BrokerInfrastructure","System.ServiceProcess.ServiceController[]","False","False","False","Background Tasks Infrastructure Service",,".","BrokerInfrastructure","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32ShareProcess",,
"NT AUTHORITY\LocalService","Service supporting the audio gateway role of the Bluetooth Handsfree Profile.","False","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","Manual","BTAGService","System.ServiceProcess.ServiceController[]","False","False","False","Bluetooth Audio Gateway Service","System.ServiceProcess.ServiceController[]",".","BTAGService","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess",,
"NT AUTHORITY\LocalService","This is Audio Video Control Transport Protocol service","False","C:\Windows\system32\svchost.exe -k LocalService -p","Manual","BthAvctpSvc","System.ServiceProcess.ServiceController[]","False","False","True","AVCTP service","System.ServiceProcess.ServiceController[]",".","BthAvctpSvc","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"NT AUTHORITY\LocalService","The Bluetooth service supports discovery and association of remote Bluetooth devices.  Stopping or disabling this service may cause already installed Bluetooth devices to fail to operate properly and prevent new devices from being discovered or associated.","False","C:\Windows\system32\svchost.exe -k LocalService -p","Manual","bthserv","System.ServiceProcess.ServiceController[]","False","False","False","Bluetooth Support Service","System.ServiceProcess.ServiceController[]",".","bthserv","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess",,
"LocalSystem","Provides facilities for managing UWP apps access to app capabilities as well as checking an app's access to specific app capabilities","False","C:\Windows\system32\svchost.exe -k appmodel -p","Manual","camsvc","System.ServiceProcess.ServiceController[]","False","True","True","Capability Access Manager Service","System.ServiceProcess.ServiceController[]",".","camsvc","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"","Enables optional screen capture functionality for applications that call the Windows.Graphics.Capture API.","False","C:\Windows\system32\svchost.exe -k LocalService -p","Manual","CaptureService_215589","System.ServiceProcess.ServiceController[]","False","False","False","CaptureService_215589","System.ServiceProcess.ServiceController[]",".","CaptureService_215589","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","224",,
"","This user service is used for Clipboard scenarios","False","C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p","Manual","cbdhsvc_215589","System.ServiceProcess.ServiceController[]","False","False","True","Clipboard User Service_215589","System.ServiceProcess.ServiceController[]",".","cbdhsvc_215589","System.ServiceProcess.ServiceController[]","Manual",,"Running","240",,
"LocalSystem","Provides change and configuration services for computer management systems.","True","C:\Windows\CCM\CcmExec.exe","AutomaticDelayedStart","CcmExec","System.ServiceProcess.ServiceController[]","False","True","True","SMS Agent Host","System.ServiceProcess.ServiceController[]",".","CcmExec","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"NT AUTHORITY\LocalService","This service is used for Connected Devices Platform scenarios","True","C:\Windows\system32\svchost.exe -k LocalService -p","AutomaticDelayedStart","CDPSvc","System.ServiceProcess.ServiceController[]","False","False","True","Connected Devices Platform Service","System.ServiceProcess.ServiceController[]",".","CDPSvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess",,
"","This user service is used for Connected Devices Platform scenarios","False","C:\Windows\system32\svchost.exe -k UnistackSvcGroup","Automatic","CDPUserSvc_215589","System.ServiceProcess.ServiceController[]","False","False","True","Connected Devices Platform User Service_215589","System.ServiceProcess.ServiceController[]",".","CDPUserSvc_215589","System.ServiceProcess.ServiceController[]","Automatic",,"Running","240",,
"LocalSystem","Copies user certificates and root certificates from smart cards into the current user's certificate store, detects when a smart card is inserted into a smart card reader, and, if needed, installs the smart card Plug and Play minidriver.","False","C:\Windows\system32\svchost.exe -k netsvcs","Automatic","CertPropSvc","System.ServiceProcess.ServiceController[]","False","True","True","Certificate Propagation","System.ServiceProcess.ServiceController[]",".","CertPropSvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","‪Manages resource coordination, background streaming, and system integration of Microsoft Office products and their related updates. This service is required to run during the use of any Microsoft Office program, during initial streaming installation and all subsequent updates.‬","False","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","Automatic","ClickToRunSvc","System.ServiceProcess.ServiceController[]","False","True","True","Microsoft Office Click-to-Run Service","System.ServiceProcess.ServiceController[]",".","ClickToRunSvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","Provides infrastructure support for the Microsoft Store. This service is started on demand and if disabled applications bought using Windows Store will not behave correctly.","False","C:\Windows\System32\svchost.exe -k wsappx -p","Manual","ClipSVC","System.ServiceProcess.ServiceController[]","False","False","False","Client License Service (ClipSVC)","System.ServiceProcess.ServiceController[]",".","ClipSVC","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess, Win32ShareProcess",,
"NT AUTHORITY\NetworkService","Supports integrations with Microsoft cloud identity services.  If disabled, tenant restrictions will not be enforced properly.","False","C:\Windows\system32\svchost.exe -k CloudIdServiceGroup -p","Manual","cloudidsvc","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Cloud Identity Service","System.ServiceProcess.ServiceController[]",".","cloudidsvc","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess",,
"LocalSystem","Charismathics Smart Security Service","False","C:\Windows\system32\cmEvtSrv.exe","Automatic","cmevtsrv","System.ServiceProcess.ServiceController[]","True","True","True","Charismathics Smart Security Service","System.ServiceProcess.ServiceController[]",".","cmevtsrv","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","Provides the ability to remote control the system to authorized users","False","C:\Windows\CCM\RemCtrl\CmRcService.exe","Disabled","CmRcService","System.ServiceProcess.ServiceController[]","False","False","False","Configuration Manager Remote Control","System.ServiceProcess.ServiceController[]",".","CmRcService","System.ServiceProcess.ServiceController[]","Disabled",,"Stopped","Win32OwnProcess",,
"LocalSystem","Manages the configuration and tracking of Component Object Model (COM)+-based components. If the service is stopped, most COM+-based components will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","False","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","Manual","COMSysApp","System.ServiceProcess.ServiceController[]","False","False","False","COM+ System Application","System.ServiceProcess.ServiceController[]",".","COMSysApp","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess",,
"","Allows ConnectUX and PC Settings to Connect and Pair with WiFi displays and Bluetooth devices.","False","C:\Windows\system32\svchost.exe -k DevicesFlow","Manual","ConsentUxUserSvc_215589","System.ServiceProcess.ServiceController[]","False","False","False","ConsentUX_215589","System.ServiceProcess.ServiceController[]",".","ConsentUxUserSvc_215589","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","224",,
"NT AUTHORITY\LocalService","Manages communication between system components.","False","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p","Automatic","CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]","False","False","False","CoreMessaging","System.ServiceProcess.ServiceController[]",".","CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32ShareProcess",,
"LocalSystem","Intel(R) Content Protection HDCP Service - enables communication with Content Protection HDCP HW","False","C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_e382c538bc382c46\IntelCpHDCPSvc.exe","Automatic","cplspcon","System.ServiceProcess.ServiceController[]","False","False","True","Intel(R) Content Protection HDCP Service","System.ServiceProcess.ServiceController[]",".","cplspcon","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"","Credential Enrollment Manager","False","C:\Windows\system32\CredentialEnrollmentManager.exe","Manual","CredentialEnrollmentManagerUserSvc_215589","System.ServiceProcess.ServiceController[]","False","False","False","CredentialEnrollmentManagerUserSvc_215589","System.ServiceProcess.ServiceController[]",".","CredentialEnrollmentManagerUserSvc_215589","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","208",,
"NT Authority\NetworkService","Provides three management services: Catalog Database Service, which confirms the signatures of Windows files and allows new programs to be installed; Protected Root Service, which adds and removes Trusted Root Certification Authority certificates from this computer; and Automatic Root Certificate Update Service, which retrieves root certificates from Windows Update and enable scenarios such as SSL. If this service is stopped, these management services will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","False","C:\Windows\system32\svchost.exe -k NetworkService -p","Automatic","CryptSvc","System.ServiceProcess.ServiceController[]","False","True","True","Cryptographic Services","System.ServiceProcess.ServiceController[]",".","CryptSvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","The Offline Files service performs maintenance activities on the Offline Files cache, responds to user logon and logoff events, implements the internals of the public API, and dispatches interesting events to those interested in Offline Files activities and changes in cache state.","False","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","CscService","System.ServiceProcess.ServiceController[]","False","False","False","Offline Files","System.ServiceProcess.ServiceController[]",".","CscService","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess",,
"LocalSystem","Keeps your Citrix Workspace app up-to-date. If you disable or stop this service, you will not get to use the latest features and fixes, meaning, security vulnerabilities might arise. This service uninstalls itself when you uninstall Citrix Workspace app.","False","""C:\Program Files (x86)\Citrix\ICA Client\Receiver\UpdaterService.exe""","Automatic","CWAUpdaterService","System.ServiceProcess.ServiceController[]","False","True","True","Citrix Workspace Updater Service","System.ServiceProcess.ServiceController[]",".","CWAUpdaterService","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","The DCOMLAUNCH service launches COM and DCOM servers in response to object activation requests. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the DCOMLAUNCH service running.","False","C:\Windows\system32\svchost.exe -k DcomLaunch -p","Automatic","DcomLaunch","System.ServiceProcess.ServiceController[]","False","False","False","DCOM Server Process Launcher",,".","DcomLaunch","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32ShareProcess",,
"LocalSystem","Declared Configuration(DC) service","True","C:\Windows\system32\svchost.exe -k netsvcs -p","Manual","dcsvc","System.ServiceProcess.ServiceController[]","False","False","False","dcsvc","System.ServiceProcess.ServiceController[]",".","dcsvc","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess",,
"LocalSystem","Dell Data Vault Service API exposes a COM API for working with the DDV services","True","""C:\Program Files\Dell\DellDataVault\DDVCollectorSvcApi.exe""","AutomaticDelayedStart","DDVCollectorSvcApi","System.ServiceProcess.ServiceController[]","False","False","True","Dell Data Vault Service API","System.ServiceProcess.ServiceController[]",".","DDVCollectorSvcApi","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","DDV Collector service gathers system information and stores it for later use","True","""C:\Program Files\Dell\DellDataVault\DDVDataCollector.exe""","AutomaticDelayedStart","DDVDataCollector","System.ServiceProcess.ServiceController[]","False","True","True","Dell Data Vault Collector","System.ServiceProcess.ServiceController[]",".","DDVDataCollector","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","DDV Rules Processor generates alerts based on data collected by DDV Collector service","True","""C:\Program Files\Dell\DellDataVault\DDVRulesProcessor.exe""","AutomaticDelayedStart","DDVRulesProcessor","System.ServiceProcess.ServiceController[]","False","True","True","Dell Data Vault Processor","System.ServiceProcess.ServiceController[]",".","DDVRulesProcessor","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"localSystem","Helps the computer run more efficiently by optimizing files on storage drives.","False","C:\Windows\system32\svchost.exe -k defragsvc","Manual","defragsvc","System.ServiceProcess.ServiceController[]","False","False","False","Optimize drives","System.ServiceProcess.ServiceController[]",".","defragsvc","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess",,
"LocalSystem","Enables Dell applications to manage Dell specific features of the system. If this service is stopped, any services that explicitly depend on it will cause this service to be restarted. If this service is disabled, any services that explicitly depend on it will fail to function.","True","""C:\Program Files (x86)\Dell\UpdateService\ServiceShell.exe""","AutomaticDelayedStart","DellClientManagementService","System.ServiceProcess.ServiceController[]","False","False","False","Dell Client Management Service","System.ServiceProcess.ServiceController[]",".","DellClientManagementService","System.ServiceProcess.ServiceController[]","Automatic",,"Stopped","Win32OwnProcess",,
"LocalSystem","Foundational service managing Dell applications through Dell TechHub","True","""C:\Program Files\Dell\TechHub\Dell.TechHub.exe""","AutomaticDelayedStart","DellTechHub","System.ServiceProcess.ServiceController[]","False","True","True","Dell TechHub","System.ServiceProcess.ServiceController[]",".","DellTechHub","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"","Enables apps to pair devices","False","C:\Windows\system32\svchost.exe -k DevicesFlow -p","Manual","DeviceAssociationBrokerSvc_215589","System.ServiceProcess.ServiceController[]","False","False","False","DeviceAssociationBroker_215589","System.ServiceProcess.ServiceController[]",".","DeviceAssociationBrokerSvc_215589","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","224",,
"LocalSystem","Enables pairing between the system and wired or wireless devices.","False","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","DeviceAssociationService","System.ServiceProcess.ServiceController[]","False","True","True","Device Association Service","System.ServiceProcess.ServiceController[]",".","DeviceAssociationService","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","Enables a computer to recognize and adapt to hardware changes with little or no user input. Stopping or disabling this service will result in system instability.","False","C:\Windows\system32\svchost.exe -k DcomLaunch -p","Manual","DeviceInstall","System.ServiceProcess.ServiceController[]","False","False","False","Device Install Service","System.ServiceProcess.ServiceController[]",".","DeviceInstall","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess",,
"","This user service is used for managing the Miracast, DLNA, and DIAL UI","False","C:\Windows\system32\svchost.exe -k DevicesFlow","Manual","DevicePickerUserSvc_215589","System.ServiceProcess.ServiceController[]","False","False","False","DevicePicker_215589","System.ServiceProcess.ServiceController[]",".","DevicePickerUserSvc_215589","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","224",,
"","Allows ConnectUX and PC Settings to Connect and Pair with WiFi displays and Bluetooth devices.","False","C:\Windows\system32\svchost.exe -k DevicesFlow","Manual","DevicesFlowUserSvc_215589","System.ServiceProcess.ServiceController[]","False","False","False","DevicesFlow_215589","System.ServiceProcess.ServiceController[]",".","DevicesFlowUserSvc_215589","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","224",,
"LocalSystem","Enables apps to discover devices with a backgroud task","False","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","DevQueryBroker","System.ServiceProcess.ServiceController[]","False","False","False","DevQuery Background Discovery Broker","System.ServiceProcess.ServiceController[]",".","DevQueryBroker","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess",,
"NT Authority\LocalService","Registers and updates IP addresses and DNS records for this computer. If this service is stopped, this computer will not receive dynamic IP addresses and DNS updates. If this service is disabled, any services that explicitly depend on it will fail to start.","False","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Automatic","Dhcp","System.ServiceProcess.ServiceController[]","False","True","True","DHCP Client","System.ServiceProcess.ServiceController[]",".","Dhcp","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","Diagnostics Hub Standard Collector Service. When running, this service collects real time ETW events and processes them.","False","C:\Windows\system32\DiagSvcs\DiagnosticsHub.StandardCollector.Service.exe","Manual","diagnosticshub.standardcollector.service","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft (R) Diagnostics Hub Standard Collector Service","System.ServiceProcess.ServiceController[]",".","diagnosticshub.standardcollector.service","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess",,
"LocalSystem","Executes diagnostic actions for troubleshooting support","False","C:\Windows\System32\svchost.exe -k diagnostics","Manual","diagsvc","System.ServiceProcess.ServiceController[]","False","False","False","Diagnostic Execution Service","System.ServiceProcess.ServiceController[]",".","diagsvc","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess",,
"LocalSystem","The Connected User Experiences and Telemetry service enables features that support in-application and connected user experiences. Additionally, this service manages the event driven collection and transmission of diagnostic and usage information (used to improve the experience and quality of the Windows Platform) when the diagnostics and usage privacy option settings are enabled under Feedback and Diagnostics.","False","C:\Windows\System32\svchost.exe -k utcsvc -p","Automatic","DiagTrack","System.ServiceProcess.ServiceController[]","False","True","True","Connected User Experiences and Telemetry","System.ServiceProcess.ServiceController[]",".","DiagTrack","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","Dialog Blocking Service","False","C:\Windows\system32\svchost.exe -k DialogBlockingService","Disabled","DialogBlockingService","System.ServiceProcess.ServiceController[]","False","False","False","DialogBlockingService","System.ServiceProcess.ServiceController[]",".","DialogBlockingService","System.ServiceProcess.ServiceController[]","Disabled",,"Stopped","Win32ShareProcess",,
"NT AUTHORITY\LocalService","Manages the connection and configuration of local and remote displays","True","C:\Windows\system32\svchost.exe -k LocalService -p","AutomaticDelayedStart","DispBrokerDesktopSvc","System.ServiceProcess.ServiceController[]","False","False","True","Display Policy Service","System.ServiceProcess.ServiceController[]",".","DispBrokerDesktopSvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","A service for managing display enhancement such as brightness control.","False","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","DisplayEnhancementService","System.ServiceProcess.ServiceController[]","False","False","True","Display Enhancement Service","System.ServiceProcess.ServiceController[]",".","DisplayEnhancementService","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
